time,year,month,week_of_year,day_of_week,is_market_open,is_flood_crisis,is_lockdown,Avg.Price (Rs./Kg),MaxPrice (Rs./Kg),Daily_Spread,Total Qty Arrived (Kgs),Qty Sold (Kgs),Smooth_Qty_Arrived,Auctioneer,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),Temp_Diff,precipitation_sum (mm),relative_humidity_2m_mean (%),soil_moisture_0_to_7cm_mean (m³/m³),et0_fao_evapotranspiration (mm),Precip_7D,RH_7D,Lag1,Lag7,Lag14,Lag30,Lag_MaxPrice_1,Lag_Spread_1,MA7,MA14,MA30,Lag_Qty_Sold_1,Lag_Total_Qty_Arrived_1,Precip_30D_Sum,Precip_Lag_60,Soil_Moisture_Lag_14
14/03/2018,2018,3,11,2,1,0,0,962.65,1245,282.35,68567.2,66361.6,85167.75714,2,22,32.8,6.38,26.42,0,0.283,34,27.4,0.3,0.285571429,952.835,1000.77,943.525,971.48,1247,294.165,959.6735714,956.9748214,966.7055,156426.7,160778.1,10.5,0,38
15/03/2018,2018,3,11,3,1,0,0,952.37,1254,301.63,122284,121101.6,84470.95714,2,20.9,27.5,4.04,23.46,1.8,0.291,40,24.4,1.8,0.287,962.65,968.145,941.81,989.63,1245,282.35,954.2278571,958.3408929,966.4111667,66361.6,68567.2,2.4,0,38
16/03/2018,2018,3,11,4,1,0,0,963.68,1214,250.32,24688.9,24136.9,82238.87143,1,17.2,29.3,4.41,24.89,0.1,0.283,63,22.5,1.9,0.286714286,952.37,976.16,942.68,972.005,1254,301.63,951.9742857,959.0951786,965.1691667,121101.6,122284,2.5,0,34
17/03/2018,2018,3,11,5,1,0,0,928.99,1230,301.01,96243.5,90140.5,77749.55714,2,17.8,30.3,4.76,25.54,0,0.279,48,24.5,1.9,0.285714286,963.68,948.27,949.94,982.345,1214,250.32,950.1914286,960.5951786,964.8916667,24136.9,24688.9,2.5,0,31
18/03/2018,2018,3,11,6,0,0,0,932.445,1218,285.555,0,0,77749.55714,0,17.8,30.3,4.76,25.54,0,0.279,48,24.5,1.9,0.284714286,928.99,939.935,954.4475,975.835,1230,301.01,947.4371429,959.09875,963.1131667,90140.5,96243.5,2.5,0,31
19/03/2018,2018,3,12,0,1,0,0,935.9,1206,270.1,50789.3,46683.8,74764.42857,2,20.6,32,5.27,26.73,0,0.267,35,26.5,1.9,0.281285714,932.445,931.6,958.955,984.23,1218,285.555,946.3671429,957.5271429,961.6668333,0,0,2.5,0,41
20/03/2018,2018,3,12,1,1,0,0,963.25,1272,308.75,123002.9,117406.6,69367.97143,2,20.6,31.8,4.25,27.55,0,0.26,40,26.2,1.9,0.277428571,935.9,952.835,988.575,984.8425,1206,270.1,946.9814286,955.8803571,960.0558333,46683.8,50789.3,2.5,0,40
21/03/2018,2018,3,12,2,1,0,0,951.09,1273,321.91,54930.2,54280.1,67419.82857,2,22.3,32.9,6.65,26.25,0,0.256,31,27.3,1.9,0.273571429,963.25,962.65,1000.77,985.455,1272,308.75,948.4692857,954.0714286,959.3360833,117406.6,123002.9,2.5,0,36
22/03/2018,2018,3,12,3,1,0,0,954.37,1286,331.63,122674.2,121570.3,67475.57143,2,19.9,33.1,7.72,25.38,0,0.251,25,25.8,0.1,0.267857143,951.09,952.37,968.145,992.09,1273,321.91,946.8178571,950.5228571,958.1905833,54280.1,54930.2,2.5,0,44
23/03/2018,2018,3,12,4,1,0,0,919.42,1204,284.58,35700.1,27898,69048.6,1,19.9,33.2,7.32,25.88,0,0.252,26,26,0,0.263428571,954.37,963.68,976.16,986.93,1286,331.63,947.1035714,949.5389286,956.93325,121570.3,122674.2,2.5,0,44
24/03/2018,2018,3,12,5,1,0,0,911.97,1210,298.03,95255.2,88613.1,68907.41429,2,21.4,33,7.71,25.29,0,0.254,25,26.5,0,0.259857143,919.42,928.99,948.27,969.88,1204,284.58,940.7807143,945.4860714,954.6829167,27898,35700.1,2.5,0,42
25/03/2018,2018,3,12,6,0,0,0,905.5325,1210,304.4675,0,0,68907.41429,0,21.4,33,7.71,25.29,0,0.254,25,26.5,0,0.256285714,911.97,932.445,939.935,976.235,1210,298.03,938.3492857,942.8932143,952.7525833,88613.1,95255.2,2.4,0,42
26/03/2018,2018,3,13,0,1,0,0,899.095,1210,310.905,52581.9,48439.2,69163.5,2,19.3,34.2,7.29,26.91,0,0.253,22,26.7,0,0.254285714,905.5325,935.9,931.6,969.73,1210,304.4675,934.5046429,940.4358929,950.3958333,0,0,2.4,0,40
27/03/2018,2018,3,13,1,1,0,0,928.455,1247,318.545,135792.9,127401.4,70990.64286,2,20,35.5,7.19,28.31,0,0.256,20,27.1,0,0.253714286,899.095,963.25,952.835,959.94,1210,310.905,929.2467857,938.1141071,948.0413333,48439.2,52581.9,2.4,0,34
28/03/2018,2018,3,13,2,0,0,0,933.77,1251.5,317.73,0,0,63143.47143,0,20,35.5,7.19,28.31,0,0.256,20,27.1,0,0.253714286,928.455,951.09,962.65,950.15,1247,318.545,924.2760714,936.3726786,946.9918333,127401.4,135792.9,2.4,0,34
29/03/2018,2018,3,13,3,1,0,0,939.085,1256,316.915,92033.8,91261.6,58766.27143,2,23.4,36.8,8.78,28.02,0,0.259,14,29.5,0,0.254857143,933.77,954.37,952.37,952.74,1251.5,317.73,921.8017857,934.3098214,946.4458333,0,0,2.4,0,40
30/03/2018,2018,3,13,4,0,0,0,944.1825,1274.25,330.0675,0,0,53666.25714,0,23.4,36.8,8.78,28.02,0,0.259,14,29.5,0,0.255857143,939.085,919.42,963.68,943.525,1256,316.915,919.6182143,933.3608929,945.9906667,91261.6,92033.8,2.4,0,63
31/03/2018,2018,3,13,5,0,0,0,949.28,1292.5,343.22,0,0,40058.37143,0,23.4,36.8,8.78,28.02,0,0.259,14,29.5,0,0.256571429,944.1825,911.97,928.99,941.81,1274.25,330.0675,923.1557143,931.9682143,946.0125833,0,0,2.4,0,48
01/04/2018,2018,4,13,6,0,0,0,954.3775,1310.75,356.3725,0,0,40058.37143,0,23.4,36.8,8.78,28.02,0,0.259,14,29.5,0,0.257285714,949.28,905.5325,932.445,942.68,1292.5,343.22,928.4857143,933.4175,946.2615833,0,0,2.4,0,48
02/04/2018,2018,4,14,0,1,0,0,959.475,1329,369.525,40447.7,35738.1,38324.91429,2,19.6,35.4,6.9,28.5,0,0.259,30,27.2,0,0.258142857,954.3775,899.095,935.9,949.94,1310.75,356.3725,935.4635714,934.9841071,946.6515,0,0,2.4,0,35
03/04/2018,2018,4,14,1,1,0,0,962.135,1523,560.865,77710.7,77710.7,30027.45714,2,22.5,36.2,7.34,28.86,0.1,0.261,24,29.2,0.1,0.258857143,959.475,928.455,963.25,954.4475,1329,369.525,944.0892857,936.6680357,946.9693333,35738.1,40447.7,2.5,0,40
04/04/2018,2018,4,14,2,1,0,0,984.585,1234,249.415,72363.2,70178.1,40365.05714,2,22,35.4,6.79,28.61,0.1,0.262,27,29.1,0.2,0.259714286,962.135,933.77,951.09,958.955,1523,560.865,948.9007143,936.5883929,947.2255833,77710.7,77710.7,2.5,0,31
05/04/2018,2018,4,14,3,1,0,0,969.15,1315,345.85,126678.4,124732.3,45314.28571,2,23.2,36.8,6.85,29.95,0,0.258,28,30,0.2,0.259571429,984.585,939.085,954.37,988.575,1234,249.415,956.16,938.9808929,948.0799167,70178.1,72363.2,2.5,0,25
06/04/2018,2018,4,14,4,1,0,0,472.45,1309.5,837.05,45412.3,38784.5,51801.75714,2,23.5,36.2,6.92,29.28,0.2,0.262,25,29.9,0.4,0.26,969.15,944.1825,919.42,1000.77,1315,345.85,960.455,940.0366071,947.4324167,124732.3,126678.4,2.6,0,26
07/04/2018,2018,4,14,5,1,0,0,943.655,1557,613.345,106148.4,94340.8,66965.81429,2,23,35.3,7.06,28.24,1.1,0.265,30,29.2,1.5,0.260857143,472.45,949.28,911.97,968.145,1309.5,837.05,893.0646429,908.1101786,929.82175,38784.5,45412.3,3.4,0,25
